Age Range,Occupation,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
20 - 24 Years,  Plant & Machine Operators & Assemblers,2.1,2.6,2.8,4.1,3.7,3.1,2.8,3.7,2.7,2.2,2.5,2.5,2.9,3,2.9,3.3,2.4,3
20 - 24 Years,"  Cleaners, Labourers & Related Workers",3.2,5.5,5,5.2,4.1,3.9,4.2,3.8,3.6,3.6,4.5,3.2,4.1,3.8,3.2,3.3,2.7,2.7
20 - 24 Years,  Others,30.9,30.6,28,30.4,31.8,34.2,36,37.4,39.5,37.9,42.4,43,44.2,41.1,37.4,36.4,34.9,31.9
25 - 29 Years,  Managers & Administrators (Including Working Proprietors),8.3,11.9,12,12.3,9.5,8.7,9.2,8.6,9.4,12.1,11.8,13.3,15.3,18.8,22.8,15.8,15.6,15.6
25 - 29 Years,  Professionals,84.5,81.4,76.5,88.9,76.4,77.4,69.2,72.3,72.8,66.4,64.3,60.2,64.6,62.2,73.4,68,65.7,61
25 - 29 Years,  Associate Professionals & Technicians,63.4,66.9,58.7,71.9,81.1,76.1,76.3,76,77.3,67.7,63.2,55.9,51.4,56,46.3,53.3,50.5,51
25 - 29 Years,  Clerical Support Workers,16.1,18.9,15.4,18.7,21.9,21.4,25.7,22.7,25.9,24.5,28.8,31.1,29.2,27.2,27.6,27.9,27.8,28.2
25 - 29 Years,  Service & Sales Workers,17,18.7,16.5,20,22.6,20.6,23.8,20.1,23.3,21.7,20.7,23,22.1,22.8,23.1,21.4,19.2,22.9
25 - 29 Years,  Craftsmen & Related Trade Workers,2.9,2.8,1.9,3.2,3.9,4.1,4,3.7,4.3,4.2,5.2,3.3,4,4.8,3.9,4,4.3,4.5
25 - 29 Years,  Plant & Machine Operators & Assemblers,3.6,4.7,4.5,5.1,6.7,6.9,5.9,5.5,3.7,4.2,4.1,4.2,4.3,5.1,5.1,5.3,4.6,5.6
25 - 29 Years,"  Cleaners, Labourers & Related Workers",3,4.5,3,4.2,3.4,4.3,4.2,4.1,4.4,3,2.5,3.4,3.4,2.9,3.6,3.7,3.4,4.1
25 - 29 Years,  Others,4.8,5.9,4.6,4.9,5.1,5.2,5.3,4.2,5.5,4.3,4.3,3.8,3.3,4.7,4.9,4.7,6.8,6.9
30 - 34 Years,  Managers & Administrators (Including Working Proprietors),34.5,35.2,41.1,38.9,32.9,32,29.6,30.8,35,36.5,35.7,39.1,41.8,42.9,43.5,39.8,40.7,37.8
30 - 34 Years,  Professionals,108.8,113.7,113.1,116.7,97.1,82,80,84.1,81.1,80.8,79.9,76.7,76.6,77.1,80.6,78.5,73.8,70.5
30 - 34 Years,  Associate Professionals & Technicians,73.7,73.6,71.7,75.7,68.4,72.8,69.2,63.6,65.1,58.4,61.3,55.6,53.2,54,49.7,51.6,53.4,53.1
30 - 34 Years,  Clerical Support Workers,19.4,19.4,18.9,22.3,18.2,21.6,19.8,23.1,21.1,25.7,25.9,29.2,27.8,27.4,29.9,26.6,27,31.9
30 - 34 Years,  Service & Sales Workers,18.8,22.1,19.3,22,20,20.7,19.6,18.8,19.2,19.1,21.7,23.1,21.6,21.6,21.8,19.7,20.3,19.3
30 - 34 Years,  Craftsmen & Related Trade Workers,2.9,2.9,1.6,3.8,2.1,3.8,3.7,3.4,4.1,4.1,4.9,4.3,4.5,4.9,5.8,5.7,6.2,6.8
30 - 34 Years,  Plant & Machine Operators & Assemblers,4.7,6.7,4.9,7.5,7.1,6.7,5.8,5.7,5.4,5.2,4.9,5.3,5.6,6.5,6.3,7.6,7,9.8
30 - 34 Years,"  Cleaners, Labourers & Related Workers",3.7,4.2,4.7,4.2,4,3.8,3.5,4.4,4.1,3.8,4.4,4.5,4.3,3.7,4.5,4.3,3.9,5.1
30 - 34 Years,  Others,3.1,3.3,3.4,2.8,2.3,2.6,2.7,2.1,1.8,2.9,3.4,3.2,2.8,3.2,3.6,3.6,2.9,3.5
35 - 39 Years,  Managers & Administrators (Including Working Proprietors),63.4,54.4,56.9,55.1,59,57,52.4,52.2,51.7,56,55.5,58.8,60.3,66.4,65.8,56.5,57.3,51.4
35 - 39 Years,  Professionals,104.7,98.4,98.9,96.9,82.5,78.5,78.2,80.2,75.8,75.4,66.7,68.8,68.3,65.8,69,64.2,63,57.3
35 - 39 Years,  Associate Professionals & Technicians,62.1,59.4,62,61.9,60.1,62.6,65,64.2,57.3,59.7,59.2,54.1,51.4,52.4,46.5,50.4,49.8,44.6
35 - 39 Years,  Clerical Support Workers,18.4,20.8,19.3,21,18,21.4,23.6,24.7,22.3,26.8,25.6,27.3,30.6,29.5,32,31.4,32.2,30.2
35 - 39 Years,  Service & Sales Workers,17.9,19.5,20.3,20.8,22.7,21,22,22.7,20.8,21.5,20.5,22.1,23.6,20.5,24.3,22.6,22.4,21.3
35 - 39 Years,  Craftsmen & Related Trade Workers,2.8,3.4,2.8,3.7,3.4,4,4.8,4.9,5.9,6.2,5.4,5.8,7.9,7.2,8.6,9,8.6,10.3
35 - 39 Years,  Plant & Machine Operators & Assemblers,6.5,6.4,6.7,7.8,9.2,7.9,8.3,8.2,8.4,6.7,7,9,9.5,10.3,11.9,13,13.1,15.6
35 - 39 Years,"  Cleaners, Labourers & Related Workers",4.5,4.9,6.2,4.7,4.3,5.2,5.7,6.3,5.4,5.7,6.2,5,5.9,6.3,7.2,7,7.9,8.9
35 - 39 Years,  Others,1.7,1.6,2.1,2.2,2.5,2.1,3.2,2.6,2.7,3,2.6,2.8,1.4,1.9,1.9,1.8,2.4,2.1
40 - 44 Years,  Managers & Administrators (Including Working Proprietors),71.2,62.8,72.9,66,66.7,65.5,66.8,68.8,65,67.5,65.6,68,66.2,66.2,62.2,58,55.2,53.9
40 - 44 Years,  Professionals,91.9,95.1,90.8,87.1,75.8,68.5,69.4,67.8,60.7,61.4,55.5,52.4,51.8,46.8,44.9,44,41.7,39.3
40 - 44 Years,  Associate Professionals & Technicians,61.6,60,63.8,56.5,53.5,57.4,59.6,53.6,55,52.8,51.5,47.7,46,43.7,39.1,40.3,42.5,38
40 - 44 Years,  Clerical Support Workers,21.8,18.3,20.7,18.7,21,23.8,25.5,28.5,27,30.8,29,34,31.8,30.7,30.1,32.6,34.5,33
40 - 44 Years,  Service & Sales Workers,20.1,20.3,23.6,19.4,19.7,24.1,23,22.9,23.9,24.3,23.2,23.6,26,24.4,24.4,27,27.7,28.3
40 - 44 Years,  Craftsmen & Related Trade Workers,3.2,4.1,4.5,3.4,4.6,4.4,5.5,7.7,6,8.5,8,9.6,10.4,9.9,11.5,12.4,12.6,14.6
40 - 44 Years,  Plant & Machine Operators & Assemblers,8,9.2,8.3,8.9,10.4,10.4,11.6,12.1,12.6,12.2,13.4,11.7,14.9,15.5,19.3,22.1,23.3,24.8
40 - 44 Years,"  Cleaners, Labourers & Related Workers",4.9,6.3,5.9,5.9,6.3,6,8.1,7.9,8.9,9.3,9.3,10,9.8,10.7,13.1,13.3,14.4,16
40 - 44 Years,  Others,2.2,1.9,2.2,2.6,1.3,1.8,1.5,2.2,1.3,1.5,1.8,1.5,1.5,1.4,1.6,1.5,1.7,1.5
45 - 49 Years,  Managers & Administrators (Including Working Proprietors),71.4,64.6,73,64.7,69.9,69.6,63.4,64.7,60.1,61.2,59.7,61.7,59.8,62.8,56.2,52.5,51.1,46
45 - 49 Years,  Professionals,76.3,75.5,80.6,64.3,63.4,55.4,52.5,50,45.1,40,40.6,38.1,37.7,33.1,35.2,29.1,31.5,27.5
45 - 49 Years,  Associate Professionals & Technicians,50.5,53.1,59.6,48.4,50.4,55.8,52.7,52.2,46.5,43.3,42.1,40.7,38.6,36.5,36.4,37.9,35.7,33.8
45 - 49 Years,  Clerical Support Workers,20.3,23.2,26.3,24.5,22.6,28.2,26.7,30.2,29.8,32,30.9,33.3,34.7,31.4,33,32.3,31.7,32.6
45 - 49 Years,  Service & Sales Workers,21.2,21.7,25.7,20.2,24.6,27.4,28.3,26.8,29.1,28,26.9,31,34.5,29.9,30.2,29.4,30.7,32
45 - 49 Years,  Craftsmen & Related Trade Workers,4.6,6,5.3,6,6.7,7.4,7.9,9,8.9,11.6,10.1,13,14.5,16.9,16.6,16.8,19,18.9
45 - 49 Years,  Plant & Machine Operators & Assemblers,10.1,11.9,13.5,13.7,17.4,18,16.5,18.1,17.1,18.4,17.8,23,23.1,28.6,26.7,28.2,30.9,33.1
45 - 49 Years,"  Cleaners, Labourers & Related Workers",6.8,7,10,9.6,10,10.7,12.2,12.1,13.4,15,16.1,16,16.9,19.6,22.9,21.2,21.7,23.7
45 - 49 Years,  Others,1.5,1.8,1.7,0.9,1.3,1.3,1.6,1,1.1,1.5,1.6,1.5,1.6,2,1.6,1.9,1.5,1.8
50 - 54 Years,  Managers & Administrators (Including Working Proprietors),62.8,58.1,58.7,49.3,51.3,51.6,49.3,48.6,46.5,50.7,51,51.3,50.5,47.8,45.1,40.9,38.4,36.9
50 - 54 Years,  Professionals,60.4,59.2,54.9,42.2,42.2,40.3,35.5,32.5,31.7,29.6,27.9,26.8,23.7,21.5,23.4,20.5,20,17
50 - 54 Years,  Associate Professionals & Technicians,49.7,50.4,49,39.8,43.2,42.8,43.4,40,41.5,38.3,37,35.4,30.1,31.9,29.5,27.9,26.7,24.2
50 - 54 Years,  Clerical Support Workers,26.4,24.3,23,21.4,24.7,29.6,30.9,30.6,32.4,34.6,33.8,32.7,32.1,30.8,26.7,29.7,27.2,24.2
50 - 54 Years,  Service & Sales Workers,24.7,28.5,23.9,23.5,27.8,31.7,34.7,30.1,32.5,33.9,31.6,29.5,31.8,31.1,29.6,26.8,29.1,30.3
50 - 54 Years,  Craftsmen & Related Trade Workers,6.5,7.1,5.9,6.5,8.5,10.9,11.9,13.6,15.5,15.1,14.1,15.8,17.5,16.3,15.2,17.4,18.1,17.5
50 - 54 Years,  Plant & Machine Operators & Assemblers,16.2,16.8,16.9,16.1,22,22.4,23.8,26.4,30,28.6,30.5,32.4,30.3,32.8,32.1,32.1,31.3,32
50 - 54 Years,"  Cleaners, Labourers & Related Workers",13.2,15.1,14.6,13.8,16.4,17,20,21.7,22.2,22.9,27.4,23.3,23.9,25.2,25.5,25.4,26.4,27.1
50 - 54 Years,  Others,0.8,1.1,1.1,0.4,1,0.8,1.5,0.9,1.5,1.7,1.4,0.8,1.2,1.1,0.5,1.2,0.7,0.7
55 - 59 Years,  Managers & Administrators (Including Working Proprietors),41.1,38,44.4,36.6,38.3,38,34.3,36,34.2,38.5,35.5,33.3,31.6,31.5,30.3,25.4,24.7,21.7
55 - 59 Years,  Professionals,37.6,39.7,35.2,29.6,28.8,26.7,26,19.5,20.2,18.7,16.9,19.8,15.6,12.5,15.8,12.6,12.6,13.2
55 - 59 Years,  Associate Professionals & Technicians,40.6,41,42.6,35.5,34.1,34.4,34.3,29.8,33,28.4,27.1,26.4,24.3,22.8,19,15.9,15.5,13.8
55 - 59 Years,  Clerical Support Workers,25.5,23.7,26.5,26.5,27.2,27.6,25.3,26.5,26.6,28.6,30.7,26,23.6,22.1,18.1,16.2,14.6,14.4
55 - 59 Years,  Service & Sales Workers,25.7,31.5,29.8,28.6,31.4,30.9,29.9,26.7,32,28.4,27.8,24.9,25.6,24.6,23.9,20.6,20.6,20.5
55 - 59 Years,  Craftsmen & Related Trade Workers,7,9.8,8.8,9.5,11.4,12.9,12,12.9,13.1,14.3,15.1,13.8,15.1,13.8,12.9,11.8,10.9,12.9
55 - 59 Years,  Plant & Machine Operators & Assemblers,21.2,23.8,23.1,25.1,26.8,28.6,28,28.5,29.2,29.6,29,27.6,29,28.7,26.4,25.2,24.3,23.3
55 - 59 Years,"  Cleaners, Labourers & Related Workers",20.9,24.9,23.5,21.5,25.4,27.3,26.4,24.4,29.4,29.3,30.7,26.9,26.1,25.5,25.8,22.7,23,23.3
55 - 59 Years,  Others,0.4,1,0.8,0.9,1.2,1.3,1.1,1.1,0.8,0.7,0.9,0.4,0.5,0.4,0.6,0.4,0.2,0.4
60 - 64 Years,  Managers & Administrators (Including Working Proprietors),26.6,23.7,25,28.8,21.5,24,21.1,22.2,20.4,19.3,20.9,20.6,19.1,17.4,15.9,13.1,11.8,9.1
60 - 64 Years,  Professionals,23.2,23.1,21.9,19,15.7,13.5,14.2,10.9,10.7,10.3,10,10,9,7,8.4,6.2,4.7,4.6
60 - 64 Years,  Associate Professionals & Technicians,31.1,30.3,28.2,28.6,23.9,20.4,22.3,18.2,20.2,17.8,16.8,13.7,12.5,9.8,8,6.3,6.1,5
60 - 64 Years,  Clerical Support Workers,22.5,20.2,23.8,23.7,22.6,20.6,17.6,19.3,17,18.5,17.3,15.4,12.1,10.6,9.1,7.5,6.7,4.5
60 - 64 Years,  Service & Sales Workers,30.3,29.4,26.5,27.6,28.5,26,25.2,25.4,24.9,21.9,21.1,19.5,19.4,17.2,14.1,14.2,11,10.2
60 - 64 Years,  Craftsmen & Related Trade Workers,10.4,10.4,10.4,9.8,9.6,9.6,10,10.8,10.7,10,10.5,8.6,8.6,9.1,6.2,7.1,6.1,5
60 - 64 Years,  Plant & Machine Operators & Assemblers,26.6,23.8,26.4,25.5,25.7,25.2,26.5,25.4,24.8,24,23.3,18.5,19,17.8,15.2,14.3,13.3,10.2
60 - 64 Years,"  Cleaners, Labourers & Related Workers",31.5,27.8,30.2,28,25.4,26.3,28.3,28.4,29.3,26.9,26.2,25.6,23.5,21.3,18.1,18.2,15.7,15.3
60 - 64 Years,  Others,0.6,1.1,0.7,1.1,0.8,0.4,0.5,0.7,0.7,0.4,0.1,0.3,0.2,0.1,0.4,0.3,0.2,0.1
65 Years & Over,  Managers & Administrators (Including Working Proprietors),24.9,20.4,22.7,24.8,18.7,17.6,14.9,16,14.2,12.5,14.7,12.7,12.2,11.3,7.9,7.1,6.5,6.2
65 Years & Over,  Professionals,16,15.9,14,13.7,11.1,11.3,9.9,7.6,8.3,6.5,7.2,5.4,4.6,4.1,4.4,3.7,2.6,2.4
65 Years & Over,  Associate Professionals & Technicians,25,22.4,22,20.7,16,15.6,11.5,9.4,9.2,8,7.1,5.2,4.9,4.6,3.3,2.6,2.2,1.4
65 Years & Over,  Clerical Support Workers,24.1,21.6,21.3,19.7,16.6,15.9,13.3,12.8,10.5,9.4,10.6,7.1,5.8,4.2,3.6,3.3,2.5,2.5
65 Years & Over,  Service & Sales Workers,42.6,38.7,35.6,34,31.6,25.4,25.7,24.4,21.8,18.8,18.8,17.4,14.5,11.2,10.5,9.8,9.5,9.3
65 Years & Over,  Craftsmen & Related Trade Workers,12.2,10.3,9.5,10.1,9.6,8.6,8,7.1,7.1,6.4,6.5,5.2,5.5,4.5,3.5,3.2,2.7,2.1
65 Years & Over,  Plant & Machine Operators & Assemblers,28.9,26,27.4,22.7,21.9,21.4,18.3,17.8,16.9,14.7,13,12.3,9.9,9.1,6.2,7,6.6,6.1
65 Years & Over,"  Cleaners, Labourers & Related Workers",72.1,59.8,53.8,51.4,48.5,43,42.4,45.6,38.1,38.6,36.6,30.6,25.6,24.8,20,20.2,17.7,16
65 Years & Over,  Others,1.6,2,1.1,1.4,1.1,0.9,1,0.9,0.7,0.5,0.1,0.2,0.1,-,0.2,0.1,0.1,-
